Specie\Loci,12-ITS,1-Satyrium parviflorum voucher BB2217 trnK gene partial sequence; and maturase K (matK) gene complete cds; chloroplast gi,2-Monadenia bracteata chloroplast tRNA-Leu gene for transfer RNA-Leu and trnL-F intergenic spacer gi,3-Tylostigma perrieri plastid partial rbcL gene for RuBisCO specimen voucher K:RII 585 gi,4-Traunsteinera globosa genomic DNA containing psbA-trnH IGS specimen voucher MIB:ZPL:04317 gi,5-Orchis quadripunctata PsaB (psaB) gene partial cds; chloroplast gi,6-Ponerorchis kiraishiensis isolate Xdh53 xanthine dehydrogenase (Xdh) gene partial cds gi,7-Dactylorhiza maculata voucher Hedren 97214 ribosomal protein L16 (rpl16) gene partial sequence gi,8-Satyrium parviflorum voucher BB2217 trnL-trnF intergenic spacer and tRNA-Phe (trnF) gene partial sequence; chloroplast gi,9-Satyrium amblyosaccos voucher HK2004 tRNA-Leu (trnL) gene partial sequence; chloroplast gi,10-Brachycorythis neglecta voucher Tang & Lin 207 trnS-trnG intergenic spacer partial sequence; chloroplast gi
117406-Spiranthes sinensis,AB740173.1,HE575508.1,HE575528.1,JF972913.1,KC704396.1,-,MH751565.1,-,-,-,-
126263-Spiranthes magnicamporum,AF301440.1,MG755176.1,MG582374.1,MG225807.1,-,-,MH913324.1,-,-,-,-
126264-Spiranthes romanzoffiana,AF301441.1,MG755179.1,FJ571304.1,FJ571354.1,-,FJ571254.1,MH913339.1,-,-,-,-
126265-Spiranthes vernalis,AF301442.1,AJ310074.1,MG582370.1,KJ773926.1,-,-,MH913350.1,-,-,-,-
126262-Spiranthes diluvialis,AF301443.1,KM213777.1,-,-,-,-,-,-,-,-,-
78845-Spiranthes cernua,AF301444.1,AJ543917.1,AJ544472.1,AF074229.1,-,-,MH751566.1,-,-,-,-
143602-Platanthera praeclara,AF301445.1,-,-,MG227178.1,-,-,-,-,-,-,-
163064-Arthrochilus prolixus,AF321581.1,-,-,-,-,-,-,-,-,-,-
163065-Arthrochilus huntianus,AF321582.1,-,-,-,-,-,-,-,-,-,-
177005-Acianthus amplexicaulis,AF347973.1,-,-,-,-,-,-,-,-,-,-
177006-Acianthus atepalus,AF347974.1,-,-,-,-,-,-,-,-,-,-
177007-Acianthus bracteatus,AF347975.1,-,-,-,-,-,-,-,-,-,-
152841-Acianthus caudatus,AF347976.1,AJ309990.1,AJ409369.1,-,-,-,-,-,-,-,-
152845-Acianthus fornicatus,AF347977.1,AJ309994.1,AJ409374.1,-,-,-,-,-,-,-,-
177008-Acianthus macroglossus,AF347978.1,-,-,-,-,-,-,-,-,-,-
176983-Aporostylis bifolia,AF347980.1,-,-,AY381109.1,-,AY380936.1,-,-,-,-,-
177010-Arthrochilus dockrillii,AF347982.1,-,-,-,-,-,-,-,-,-,-
177011-Arthrochilus oreophilus,AF347984.1,-,-,-,-,-,-,-,-,-,-
154541-Caladenia cairnsiana,AF347987.1,AJ309996.1,-,-,-,-,-,-,-,-,-
177014-Caladenia filifera,AF347990.1,-,-,-,-,-,-,-,-,-,-
177020-Calochilus holtzei,AF347999.1,-,-,-,-,-,-,-,-,-,-
177021-Chiloglottis diphylla,AF348001.1,-,-,-,-,-,-,-,-,-,-
152858-Coilochilus neocaledonicum,AF348006.1,JQ045539.1,-,MH661962.1,-,MH661681.1,-,-,-,AJ409388.1,-
176987-Cooktownia robertsii,AF348007.1,-,-,-,-,-,-,-,-,-,-
177025-Corybas aconitiflorus,AF348008.1,-,-,-,-,-,-,-,-,-,-
177026-Corybas fimbriatus,AF348009.1,-,-,-,-,-,-,-,-,-,-
177027-Corybas hispidus,AF348011.1,-,-,-,-,-,-,-,-,-,-
177029-Corybas undulatus,AF348012.1,-,-,-,-,-,-,-,-,-,-
177030-Corybas unguiculatus,AF348013.1,MG695053.1,-,-,-,-,-,-,-,-,-
177033-Cynorkis compacta,AF348019.1,-,-,-,-,-,-,-,-,-,-
177034-Cyrtostylis reniformis,AF348020.1,-,-,-,-,-,-,-,-,-,-
177035-Cyrtostylis robusta,AF348021.1,-,-,-,-,-,-,-,-,-,-
157880-Diuris aurea,AF348022.1,-,-,-,-,-,-,-,-,-,-
177036-Diuris drummondii,AF348023.1,-,-,-,-,-,-,-,-,-,-
177037-Diuris magnifica,AF348024.1,-,-,-,-,-,-,-,-,-,-
157881-Diuris punctata,AF348025.1,-,-,-,-,-,-,-,-,-,-
177038-Drakaea glyptodon,AF348027.1,-,-,-,-,-,-,-,-,-,-
176991-Epiblema grandiflorum,AF348029.1,MH542195.1,JQ712999.1,MH661965.1,-,MH661679.1,-,-,-,-,-
78767-Eriochilus cucullatus,AF348030.1,AJ310028.1,AJ409410.1,AF074166.1,-,AY381006.1,-,-,-,-,-
177040-Eriochilus tenuis,AF348031.1,-,-,-,-,-,-,-,-,-,-
177042-Genoplesium rufum,AF348033.1,-,-,-,-,-,-,-,-,-,-
177043-Habenaria propinquior,AF348035.1,-,-,-,-,-,-,-,-,-,-
1127261-Lepidogyne longifolia,AF348037.1,JN166032.1,KT385579.1,JN166053.1,-,-,-,KC237365.1,-,-,-
152884-Leporella fimbriata,AF348038.1,AJ310038.1,AJ409420.1,AY381124.1,-,AY381025.1,-,-,-,-,-
152888-Lyperanthus suaveolens,AF348040.1,AJ310041.1,AJ409424.1,-,-,-,-,-,-,-,-
152889-Megastylis gigas,AF348041.1,AJ310042.1,AJ409425.1,MH661961.1,-,MH661680.1,-,-,-,-,-
177046-Microtis rara,AF348045.1,-,-,-,-,-,-,-,-,-,-
152891-Microtis unifolia,AF348046.1,AJ310046.1,AJ409428.1,AF074194.1,-,AY381039.1,-,-,-,-,-
176997-Odontorrhynchus variabilis,AF348047.1,AJ543926.1,AJ544481.1,AJ542426.1,-,-,-,-,-,-,-
78819-Orthoceras strictum,AF348048.1,AJ310050.1,AJ409433.1,AF074204.1,-,AY381049.1,GU004505.1,-,-,-,-
78821-Pachyplectron arifolium,AF348049.1,AJ310051.1,AJ544503.1,FJ571336.1,-,FJ571236.1,GU004496.1,-,-,-,-
152898-Praecoxanthus aphyllus,AF348052.1,AJ310057.1,AJ409440.1,-,-,-,-,-,-,-,-
177049-Prasophyllum australe,AF348053.1,-,-,-,-,-,GU004498.1,-,-,-,-
177052-Pterostylis rufa,AF348056.1,GQ866255.1,-,-,-,-,-,-,-,-,-
78801-Pyrorchis nigricans,AF348057.1,AJ310065.1,AJ409448.1,AF074187.1,-,AY381030.1,-,-,-,-,-
152910-Rimacola elliptica,AF348060.1,AJ310066.1,AJ409449.1,AY381133.1,-,AY381073.1,-,-,-,-,-
59355-Serapias lingua,AF348062.1,-,-,FN870933.1,-,-,-,EU176028.1,EU045542.1,AJ496034.1,EU531522.1
152913-Spiculaea ciliata,AF348063.1,AJ310072.1,AJ409452.1,-,-,-,-,-,-,-,-
117407-Spiranthes spiralis,AF348064.1,AJ543918.1,FJ571305.1,FJ571355.1,-,FJ571255.1,-,-,-,-,-
62870-Stenoglottis longifolia,AF348065.1,AY368387.1,-,AY368349.1,-,-,-,EU176088.1,-,-,-
177000-Stenoptera peruviana,AF348066.1,-,-,-,-,-,-,-,-,-,-
177054-Thelymitra benthamiana,AF348067.1,MG695080.1,MH662424.1,-,-,-,-,-,-,-,-
177055-Thelymitra cyanea,AF348068.1,MG695093.1,-,-,-,-,-,-,-,-,-
177056-Thelymitra flexuosa,AF348069.1,MG695096.1,-,-,-,-,-,-,-,-,-
177002-Townsonia viridis,AF348071.1,-,-,-,-,-,-,-,-,-,-
177004-Waireia stenopetala,AF348072.1,-,-,-,-,-,-,-,-,-,-
177058-Zeuxine oblonga,AF348073.1,-,KC467053.1,-,-,-,-,KC237361.1,-,-,-
179755-Acianthus sinclairii,AF391761.1,-,-,KT626659.1,-,-,-,-,-,-,-
179773-Arthrochilus rosulatus,AF391763.1,-,-,-,-,-,-,-,-,-,-
179757-Corybas abellianus,AF391764.1,-,-,-,-,-,-,-,-,-,-
179758-Corybas barbarae,AF391765.1,-,-,-,-,-,-,-,-,-,-
179759-Corybas carsei,AF391766.1,-,-,-,-,-,-,-,-,-,-
179760-Corybas cheesemanii,AF391767.1,-,-,-,-,-,-,-,-,-,-
179769-Corybas rivularis,AF391768.1,-,KX523954.1,-,-,-,-,-,-,-,-
78735-Corybas diemenicus,AF391769.1,AJ310010.1,AJ409389.1,AF074135.1,-,-,-,-,-,-,-
179762-Corybas dienemus,AF391770.1,-,KX523950.1,-,-,-,-,-,-,-,-
179763-Corybas incurvus,AF391771.1,-,-,-,-,-,-,-,-,-,-
179764-Corybas iridescens,AF391772.1,-,KX523952.1,-,-,-,-,-,-,-,-
152859-Corybas neocaledonicus,AF391773.1,AJ310011.1,AJ409390.1,-,-,-,-,-,-,-,-
179765-Corybas oblongus,AF391774.1,-,KX523971.1,-,-,-,-,-,-,-,-
179766-Corybas orbiculatus,AF391775.1,-,KX523951.1,KT626824.1,-,-,-,-,-,-,-
179767-Corybas papa,AF391776.1,-,KX523949.1,-,-,-,-,-,-,-,-
179768-Corybas pruinosus,AF391777.1,-,-,-,-,-,-,-,-,-,-
179770-Corybas rotundifolius,AF391779.1,-,-,-,-,-,-,-,-,-,-
179771-Corybas trilobus,AF391780.1,-,KX523921.1,-,-,AY380970.1,-,-,-,-,-
179772-Cyrtostylis oblonga,AF391782.1,-,-,-,-,-,-,-,-,-,-
179749-Genoplesium apostasioides,AF391783.1,-,-,-,-,-,-,-,-,-,-
179752-Stigmatodactylus vulcanicus,AF391787.1,-,-,-,-,-,-,-,-,-,-
62847-Disa uniflora,AJ000115.1,DQ415007.1,AF360435.1,-,-,-,-,-,AF360492.1,-,-
62840-Disa chrysostachya,AJ000116.1,DQ415118.1,DQ415259.1,-,-,-,-,-,-,-,-
245494-Disa spathulata,AJ000118.1,AY368384.1,DQ415216.1,AY368342.1,-,-,-,-,AF360487.1,-,-
62832-Corycium flanaganii,AJ000122.1,EU301517.1,EU301570.1,-,-,-,-,-,-,-,-
62830-Corycium carnosum,AJ000123.1,EU301524.1,AJ409391.1,AY381115.1,-,AY380971.1,-,-,-,-,-
62831-Corycium dracomontanum,AJ000125.1,EU301513.1,EU301566.1,-,-,-,-,-,-,-,-
62833-Corycium nigrescens,AJ000126.1,EU301514.1,EU301567.1,-,-,-,-,-,AF360514.1,AF360457.1,-
62857-Pterygodium catholicum,AJ000127.1,AJ310064.1,AJ409447.1,AY368346.1,-,-,-,-,-,-,-
62837-Cynorkis galeata,AJ000135.1,-,-,-,-,-,-,-,-,-,-
62835-Ponthieva fertilis,AJ000137.1,AJ310013.1,FJ571272.1,FJ571322.1,-,FJ571221.1,-,-,-,-,-
62865-Satyrium nepalense,AJ000140.1,AJ310070.1,AJ409450.1,AY368348.1,MF785844.1,AY381074.1,KM651384.1,EU176102.1,-,-,EF594507.1
62864-Satyrium membranaceum,AJ000144.1,EF612567.1,-,-,-,-,-,-,AY705027.1,AY705067.1,EF594498.1
62868-Satyrium stenopetalum,AJ000145.1,EF612594.1,-,-,-,-,-,-,EF601472.1,AY705082.1,EF594532.1
62826-Brachycorythis macrantha,AJ000146.1,-,-,-,-,-,-,-,-,-,-
220586-Deiregyne diaphana,AJ539484.1,AJ543912.1,AJ544467.1,AJ542440.1,-,-,MH751559.1,-,-,-,-
220589-Dichromanthus cinnabarinus,AJ539486.1,AJ543914.1,AJ544469.1,AJ542438.1,-,-,MH751560.1,-,-,-,-
220602-Schiedeella llaveana,AJ539487.1,AJ543915.1,AJ544470.1,AJ542437.1,-,-,MH751578.1,-,-,-,-
220597-Mesadenus lucayanus,AJ539488.1,AJ543916.1,AJ544471.1,AJ542436.1,-,-,-,-,-,-,-
220578-Aulosepalum tenuiflorum,AJ539491.1,AM884249.1,AJ544474.1,AJ542433.1,AM884891.1,-,-,-,-,-,-
220580-Beloglottis costaricensis,AJ539492.2,AJ543920.1,AJ544475.1,AJ542432.1,-,-,-,-,-,-,-
220606-Svenkoeltzia congestiflora,AJ539493.1,AJ543921.1,AJ544476.1,AJ542431.1,-,-,-,-,-,-,-
220593-Funkiella hyemalis,AJ539495.1,AJ543923.1,AJ544478.1,AJ542429.1,-,-,-,-,-,-,-
220601-Schiedeella faucisanguinea,AJ539496.1,AJ543924.1,AJ544479.1,AJ542428.1,-,-,-,-,-,-,-
220591-Eurystyles borealis,AJ539497.1,AJ543925.1,AJ544480.1,AJ542427.1,-,-,-,-,-,-,-
