"Specie\Loci","16-ITS","1-Cypripedium japonicum isolate PDBK2007-0727 photosystem II protein D1 (psbA) gene partial cds; psbA-trnH intergenic spacer complete sequence; and tRNA-His (trnH) gene partial sequence; plastid","2-Cypripedium calceolus isolate IH27 atpI-atpH intergenic spacer partial sequence; chloroplast","3-Cypripedium passerinum isolate S35 trnS-trnM intergenic spacer partial sequence; chloroplast","4-Cypripedium farreri isolate F29 trnL-trnF intergenic spacer partial sequence; chloroplast","5-Cypripedium montanum isolate P29 ribulose-15-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene partial cds; chloroplast","6-Cypripedium micranthum isolate C004 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer partial sequence; chloroplast","7-Cypripedium molle tRNA-Lys (trnK) gene partial sequence; and maturase K (matK) gene partial cds; chloroplast","8-Cypripedium japonicum RNA polymerase beta chain subunit-1 (rpoC1) gene partial cds; chloroplast","9-Cypripedium molle clone 2 1-aminocyclopropane-1-carboxylate oxidase (ACO) gene exons 2 through 4 and partial cds","10-Cypripedium acaule RNA polymerase beta subunit (rpoC2) gene partial cds; chloroplast","11-Cypripedium californicum hypothetical protein RF2 (ycf2) gene partial cds; chloroplast","12-Cypripedium candidum hypothetical protein Ycf1 (ycf1) gene partial cds; chloroplast","13-Cypripedium irapeanum clone 2 LEAFY (LFY) gene exons 1 through 3 and partial cds","14-Cypripedium shanxiense isolate CS_20120622_13 psbK-psbI intergenic spacer partial sequence; chloroplast","15-Cypripedium tibeticum haplotype 6 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer partial sequence; chloroplast",
"1226221-Cypripedium dickinsonianum",KJ939538.1,JQ660932.1,"-","-","-","-","-",JQ660909.1,"-","-","-","-","-","-","-","-",
"1088823-Cypripedium fargesii",JQ004988.1,JF796945.1,JF797126.1,"-",JF796997.1,"-","-","-","-","-","-","-","-","-","-","-",
"1088825-Cypripedium fasciolatum",JQ004990.1,JF796947.1,JF797145.1,JF797065.1,JF797023.1,"-",JF796874.1,"-","-","-","-","-","-","-","-","-",
"53041-Cypripedium flavum",JQ004985.1,JQ004986.1,JF797160.1,JF797066.1,JF797005.1,JN181474.1,JF796857.1,JN181457.1,JN181491.1,JN181416.1,JN181508.1,JN181542.1,JN181525.1,JN181438.1,"-","-",
"1088827-Cypripedium franchetii",KJ939536.1,JF796953.1,JF797146.1,JF797071.1,JF797024.1,"-",JF796875.1,"-","-","-","-","-","-","-","-","-",
"53043-Cypripedium guttatum",JQ004994.1,KC704356.1,JF797115.1,JF797073.1,JF797049.1,EF370113.1,JF796894.1,KF261992.1,"-","-","-","-","-","-",KC704113.1,"-",
"53045-Cypripedium lichiangense",JQ004991.1,JF796960.1,JF797124.1,JF797078.1,JF797001.1,MK161075.1,"-","-","-","-","-","-","-","-","-","-",
"53049-Cypripedium plectrochilum",JQ004993.1,JQ923464.1,JF797154.1,JF797090.1,JF797042.1,"-",JF796891.1,"-","-","-","-","-","-","-","-","-",
"752253-Cypripedium tibeticum",JN018079.1,JQ923463.1,JF797138.1,JF797096.1,JF797030.1,JQ182215.1,JF796881.1,JQ182197.1,JQ182233.1,JQ182161.1,JQ182251.1,JQ182287.1,JQ182269.1,JQ182177.1,"-",MF279238.1,
